,sector,n_jobs,link
0,atencion al cliente,1914,https://es.indeed.com
1,atencion al cliente,393,https://www.infoempleo.com
2,banca,1455,https://es.indeed.com
3,banca,25,https://www.michaelpage.es
4,educacion,413,https://es.indeed.com
5,educacion,10,https://www.michaelpage.es
6,finanzas,100,https://www.michaelpage.es
7,finanzas,1611,https://es.indeed.com
8,legal,50,https://www.infoempleo.com
9,legal,3055,https://es.indeed.com
10,legal,359,https://www.infojobs.net/
11,marketing,3248,https://es.indeed.com
12,marketing,84,https://www.michaelpage.es
13,recursos humanos,1618,https://es.indeed.com
14,recursos humanos,63,https://www.michaelpage.es
15,recursos humanos,248,https://www.infoempleo.com
16,recursos humanos,1386,https://www.infojobs.net/
17,seguros,41,https://www.michaelpage.es
18,seguros,4957,https://es.indeed.com
19,telecomunicaciones,3071,https://es.indeed.com
20,telecomunicaciones,135,https://www.infoempleo.com
